P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.509, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.519, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.539, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.549, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.559, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.570, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.580, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.590, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.600, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.610, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.620, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.627, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.629, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.631, (priority): 3, (size): 10
